type,name,label::English (en),hint::English (en),required,appearance,constraint_message,relevant,constraint,body::accept,guidance_hint
start,start,,,,,,,,,
end,end,,,,,,,,,
username,username,,,,,,,,,
begin_group,section1,Section 1: Assessor and Country information,,false,,,,,,
text,email_assessor,Email address of assessor,,true,,,,,,
text,name_assessor,Name of assessor,,true,,,,,,
select_one cn6yv78,country_assessment,Country of assessment,"Please list the country for this specific assessment. Remember assessments are done for populations WITHIN the country of assessment, instead of the entire range of the species.",true,autocomplete,,,,,
end_group,,,,,,,,,,
begin_group,section2,Section 2: Species Taxonomy,,false,,,,,,
text,genus,Genus,,true,,,,,,
text,species,Species,"Only type the epithet, e.g. ""sapiens"" instead of ""Homo sapiens"". Do NOT include Taxonomic Authority or year of description. That will be provided below.",true,,"Only type the epithet, e.g. ""sapiens"" instead of ""Homo sapiens""",,,,
note,note_species,"While assessm ents are intended to be conducted at the species level, it is recognized that there are revisions of taxonomy, and what may be considered a subspecies or variety by some experts, may be considered a species by others. Also, distinctions at infraspecies levels may be of special importance for some taxa, like some crop wild relatives. Assessors may thus include subspecies or variety if the entity is an important unit for that country (e.g., it has separate management reports, protection level or Red List status or a wild relative of a crop).\_  See [Guidelines for the definition of subspecies, and issues of taxonomy](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/4\_Species\_list/Species\_list.html#on-the-definition-of-subspecies-and-issues-of-taxonomy)",,false,,,,,,
text,subspecies_variety,Subspecies or Variety,Only type the infraspecific epithet. Leave blank if the assessment is not being done below the species level.,false,,,,,,
text,scientific_authority,Taxonomic Authority,"Please include the Taxonomic Authority and year for the species (or subspecies/variety) being assessed. E.g., For Mellivora capensis, type (Schreber, 1776). If Unknown, please leave blank.",false,,,,,,
text,common_name,Common name,"Please provide the most widely used common name for the species, followed by the language in brackets. For example, the common names for Taxus baccata are Common yew in English and If commun in French. If more than one widely used common name exists, please separate them with a semicolon. E.g. Common yew (EN); If commun (FR).",true,,,,,,
select_one ez3tz03,taxonomic_group,Taxonomic Group,,true,,,,,,
text,Taxonomic_Order,Taxonomic Order,"Please correctly type the Order this species belongs to, to assist with additional comparisons within a given taxonomic group.",true,,,,,,
note,note_taxonID,"Taxon IDs can help form linkages between the different data sources, which may prove useful in downstream analyses or future projects. GBIF often provides several of these IDs known for the species at the bottom of the species page. If no IDs are available, please leave these questions blank.",,false,,,,,,
text,GBIF_taxonID,"If available, add the GBIF taxonID for this species","e.g. 2684495 for Juniperus blancoi as shown here https://www.gbif.org/species/2684495 (scroll down to the end ""Taxon identifiers"" section.",false,,,,,,
text,NCBI_taxonID,"If available, add the NCBI taxonID for this species",e.g. 698470 for Juniperus blancoi as shown here https://www.ncbi.nlm.nih.gov/search/all/?term=juniperus%20blancoi,false,,,,,,
text,national_taxonID,"If available, add the taxonID for this species from any information system or local database in the country of assessment.",,false,,,,,,
text,source_national_taxonID,What's the name of the information system/local data base for the National taxonID you added before?,,false,,,${national_taxonID} != '',,,
end_group,,,,,,,,,,
begin_group,section3,Section 3: Proportion of maintained populations (PM indicator),,false,,,,,,
